,Folio,Ini_Date,End_Date,Op_Type,Comment,Comment Val,Units,Spot,TP,SL,Close_P,Close_Reason,Status,Margin
1391,Folio,2017-06-02 08:35,2017-06-02 09:50:00+00:00,Sell,STO,86,1000,18.67851,18.66451,18.68551,18.6875,SL,Closed,-0.00899000000000072
1390,Folio,2017-06-02 08:40,2017-06-02 09:50:00+00:00,Sell,STO,92,1000,18.67656,18.663559999999997,18.683059999999998,18.6875,SL,Closed,-0.010940000000001504
1389,Folio,2017-06-02 08:45,2017-06-02 09:50:00+00:00,Sell,STO,89,1000,18.67686,18.66386,18.68336,18.6875,SL,Closed,-0.01063999999999865
1388,Folio,2017-06-02 08:50,2017-06-02 09:25:00+00:00,Sell,STO,93,1000,18.68178,18.668779999999998,18.68828,18.66798,TP,Closed,0.013799999999999812
1387,Folio,2017-06-02 08:55,2017-06-02 09:50:00+00:00,Sell,STO,88,1000,18.6781,18.6661,18.6841,18.6875,SL,Closed,-0.009399999999999409
1386,Folio,2017-06-02 09:00,2017-06-02 09:05:00+00:00,Sell,STO,86,1000,18.67189,18.65989,18.67789,18.68112,SL,Closed,-0.00922999999999874
1385,Folio,2017-06-02 09:05,2017-06-02 10:00:00+00:00,Sell,STO,87,1000,18.68112,18.66712,18.68812,18.69124,SL,Closed,-0.010120000000000573
1384,Folio,2017-06-02 09:10,2017-06-02 09:25:00+00:00,Sell,STO,92,1000,18.68132,18.668319999999998,18.68782,18.66798,TP,Closed,0.013339999999999463
1383,Folio,2017-06-02 09:15,2017-06-02 09:50:00+00:00,Sell,STO,88,1000,18.67418,18.66018,18.68118,18.6875,SL,Closed,-0.01332000000000022
1382,Folio,2017-06-02 09:20,2017-06-02 09:50:00+00:00,Sell,STO,93,1000,18.67476,18.66076,18.68176,18.6875,SL,Closed,-0.012740000000000862
1381,Folio,2017-06-02 09:25,2017-06-02 09:30:00+00:00,Sell,STO,86,1000,18.66798,18.65498,18.67448,18.67862,SL,Closed,-0.01063999999999865
1380,Folio,2017-06-02 09:30,2017-06-02 09:50:00+00:00,Sell,STO,93,1000,18.67862,18.665619999999997,18.685119999999998,18.6875,SL,Closed,-0.008880000000001331
1379,Folio,2017-06-02 09:35,2017-06-02 09:50:00+00:00,Sell,STO,89,1000,18.67777,18.66377,18.68477,18.6875,SL,Closed,-0.009730000000001127
1378,Folio,2017-06-02 09:40,2017-06-02 09:50:00+00:00,Sell,STO,90,1000,18.67478,18.661779999999997,18.681279999999997,18.6875,SL,Closed,-0.012720000000001619
1377,Folio,2017-06-02 09:45,2017-06-02 09:50:00+00:00,Sell,STO,85,1000,18.67914,18.66714,18.68514,18.6875,SL,Closed,-0.008359999999999701
1376,Folio,2017-06-02 09:50,2017-06-02 10:35:00+00:00,Sell,STO,93,1000,18.6875,18.6735,18.6945,18.6699,TP,Closed,0.017600000000001614
1375,Folio,2017-06-02 09:55,2017-06-02 10:00:00+00:00,Sell,STO,87,1000,18.6835,18.6695,18.6905,18.69124,SL,Closed,-0.0077400000000018565
1374,Folio,2017-06-02 10:00,2017-06-02 10:20:00+00:00,Sell,STO,94,1000,18.69124,18.67824,18.69774,18.6777,TP,Closed,0.013539999999998997
1373,Folio,2017-06-02 10:05,2017-06-02 10:35:00+00:00,Sell,STO,86,1000,18.68865,18.675649999999997,18.695149999999998,18.6699,TP,Closed,0.01875000000000071
1372,Folio,2017-06-02 10:10,2017-06-02 10:20:00+00:00,Sell,STO,90,1000,18.6944,18.6814,18.7009,18.6777,TP,Closed,0.01670000000000016
1371,Folio,2017-06-02 10:15,2017-06-02 10:20:00+00:00,Sell,STO,86,1000,18.69407,18.68107,18.70057,18.6777,TP,Closed,0.01636999999999844
1370,Folio,2017-06-02 10:25,2017-06-02 10:40:00+00:00,Sell,STO,86,1000,18.67952,18.66752,18.68552,18.66451,TP,Closed,0.01501000000000019
